#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=48 keyint_min=25 scenecut=0 intra_refresh=0 rc_lookahead=48 rc=abr mbtree=1 bitrate=2400 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=4800 vbv_bufsize=9600 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:25.69 aq:17.49 tex:386855 mv:85026 misc:6511 imb:3600 pmb:0 smb:0 d:- ref:;
in:2 out:1 type:P dur:2 cpbdur:2 q:26.61 aq:17.80 tex:57932 mv:7905 misc:3371 imb:138 pmb:1708 smb:1754 d:- ref:0 ;
in:1 out:2 type:b dur:2 cpbdur:2 q:26.61 aq:21.89 tex:3374 mv:1108 misc:1326 imb:10 pmb:268 smb:3322 d:s ref:0 ;
in:4 out:3 type:P dur:2 cpbdur:2 q:26.55 aq:17.03 tex:114312 mv:14505 misc:2399 imb:426 pmb:2488 smb:686 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:26.61 aq:22.12 tex:3879 mv:1478 misc:1563 imb:11 pmb:331 smb:3258 d:- ref:0 ;
in:6 out:5 type:P dur:2 cpbdur:2 q:26.58 aq:16.77 tex:50726 mv:7273 misc:3513 imb:111 pmb:1871 smb:1618 d:- ref:0 ;
in:5 out:6 type:b dur:2 cpbdur:2 q:26.58 aq:21.30 tex:1159 mv:403 misc:1030 imb:3 pmb:167 smb:3430 d:s ref:0 ;
in:10 out:7 type:P dur:2 cpbdur:2 q:30.58 aq:20.12 tex:54420 mv:6190 misc:2958 imb:136 pmb:1241 smb:2223 d:s ref:0 ;
in:8 out:8 type:B dur:2 cpbdur:2 q:30.53 aq:24.22 tex:7561 mv:926 misc:1265 imb:4 pmb:296 smb:3300 d:s ref:0 ;
in:7 out:9 type:b dur:2 cpbdur:2 q:30.51 aq:27.58 tex:1025 mv:215 misc:496 imb:1 pmb:55 smb:3544 d:s ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:30.56 aq:28.86 tex:722 mv:139 misc:419 imb:0 pmb:38 smb:3562 d:- ref:0 ;
